x,y,z,x_uncalibrated,y_uncalibrated,z_uncalibrated
8.155414581298828,-43.10844039916992,16.51984405517578,37.32342529296875,-68.70710754394531,136.0565185546875
7.651756286621094,-45.933712005615234,7.49517822265625,37.23590087890625,-71.4844970703125,129.13238525390625
6.926731109619141,-46.59365463256836,-5.852775573730469,36.50004577636719,-73.78788757324219,116.92237854003906
4.9023590087890625,-44.11910629272461,-17.26508331298828,35.52476501464844,-72.83505249023438,104.24652099609375
3.201313018798828,-39.00043869018555,-27.114730834960938,31.598800659179688,-62.59480285644531,84.72769165039062
1.1277236938476562,-31.84044647216797,-35.47715759277344,28.466217041015625,-55.46482849121094,77.58389282226562
-2.829347610473633,-24.339031219482422,-40.815086364746094,24.118240356445312,-47.84342956542969,73.29615783691406
-7.356172561645508,-17.1343994140625,-44.19031524658203,19.684738159179688,-40.87953186035156,71.21559143066406
-11.863405227661133,-10.783798217773438,-45.22559356689453,14.681747436523438,-35.164306640625,70.93000793457031
-17.330814361572266,-5.283935546875,-44.59260559082031,9.536758422851562,-29.80560302734375,72.10142517089844
-25.66252899169922,15.095236778259277,-39.52259063720703,6.139862060546875,-18.941802978515625,73.94819641113281
-28.925329208374023,27.028356552124023,-32.242431640625,1.4468994140625,-5.6834869384765625,80.22195434570312
-30.55707550048828,33.23978805541992,-25.613853454589844,-0.5222625732421875,3.5552520751953125,87.03025817871094
-30.815021514892578,38.524932861328125,-19.61212921142578,-1.9224700927734375,8.665206909179688,93.09393310546875
-29.066913604736328,44.535160064697266,-10.619590759277344,1.592742919921875,19.493255615234375,109.11532592773438
-25.913780212402344,48.338592529296875,-2.324859619140625,4.5716705322265625,21.839385986328125,118.69325256347656
-22.694034576416016,49.042747497558594,8.160392761230469,9.49761962890625,22.204452514648438,128.41781616210938
-5.457918167114258,48.22263717651367,22.83025360107422,18.521377563476562,22.093994140625,135.7301788330078
5.048984527587891,44.976707458496094,26.70056915283203,28.440475463867188,19.90380859375,141.0835418701172
18.203807830810547,38.832191467285156,28.15520477294922,40.33341979980469,15.430862426757812,144.02703857421875
32.792781829833984,29.385404586791992,23.079444885253906,54.46826171875,7.5688018798828125,142.8701934814453
42.28345489501953,17.906970977783203,17.126853942871094,67.49720764160156,-2.9762115478515625,135.9172821044922
44.95121765136719,6.329889297485352,16.182411193847656,73.32186889648438,-14.823822021484375,132.59104919433594
44.52166748046875,-2.1772422790527344,17.523841857910156,72.98774719238281,-31.538711547851562,134.33816528320312
43.15528869628906,-6.2091522216796875,19.00232696533203,71.68927001953125,-34.05030822753906,135.93885803222656
39.06507873535156,-9.465789794921875,24.19696807861328,69.61097717285156,-35.620635986328125,138.6586456298828
36.32910919189453,-8.794448852539062,27.65306854248047,64.30967712402344,-34.571533203125,145.43080139160156
33.38376998901367,-6.218471527099609,31.300621032714844,61.64482116699219,-33.458038330078125,148.3510284423828
32.047550201416016,-7.301216125488281,32.29753875732422,60.6397705078125,-34.236083984375,149.12939453125
27.815052032470703,-5.417652130126953,36.429969787597656,58.5311279296875,-32.77754211425781,151.7451171875
26.37273406982422,-5.695835113525391,37.29511260986328,56.39869689941406,-32.46562194824219,152.9283905029297
25.92340087890625,-6.035865783691406,37.55596160888672,55.38291931152344,-32.971893310546875,153.6848907470703
27.341045379638672,-7.432483673095703,36.61260223388672,56.60325622558594,-35.43495178222656,152.61474609375
27.20279312133789,-9.390148162841797,36.41358184814453,56.11705017089844,-36.795318603515625,152.73362731933594
26.01156234741211,-9.669448852539062,37.25739288330078,54.522369384765625,-36.92970275878906,153.9420928955078
20.004405975341797,-13.374847412109375,39.988746643066406,51.70518493652344,-39.40446472167969,155.32037353515625
17.260440826416016,-12.224464416503906,41.739952087402344,48.060150146484375,-40.570953369140625,156.6726837158203
16.256439208984375,-8.7508544921875,43.36272430419922,46.025360107421875,-38.341400146484375,158.4786376953125
17.63665771484375,-7.061496734619141,43.335670471191406,47.82164001464844,-33.891021728515625,159.33897399902344
22.374176025390625,-5.108097076416016,41.755577087402344,53.298065185546875,-30.928543090820312,157.30581665039062
30.292530059814453,0.9486007690429688,37.16216278076172,61.61651611328125,-23.813690185546875,151.1283416748047
37.013885498046875,10.533456802368164,28.86162567138672,67.39283752441406,-13.491790771484375,142.20713806152344
